web-scraper-order,web-scraper-start-url,building_name,address,units,stories,year,type,neighborhood,amenities,buildings,buildings-href
"1533929801-183","http://yddevelopment.herokuapp.com/125buildings2.","Building: 124 West 139th Street","124 West 139th Street, New York, NY, 10030","16 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/124-West-139th-Street-10030"
"1533930968-506","http://yddevelopment.herokuapp.com/125buildings2.","Building: 60 West 130th Street","60 West 130th Street, New York, NY, 10037","null","null","null","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/60-West-130th-Street-10037"
"1533930245-315","http://yddevelopment.herokuapp.com/125buildings2.","Building: 159 West 136th Street","159 West 136th Street, New York, NY, 10030","11 units","4 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/159-West-136th-Street-10030"
"1533930360-348","http://yddevelopment.herokuapp.com/125buildings2.","House: 123 West 135th Street","123 West 135th Street, New York, NY, 10030","22 units","6 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/123-West-135th-Street-10030"
"1533929455-93","http://yddevelopment.herokuapp.com/125buildings2.","House: 253 West 137th Street","253 West 137th Street, New York, NY, 10030","5 units","5 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/253-West-137th-Street-10030"
"1533930091-269","http://yddevelopment.herokuapp.com/125buildings2.","Property: 228 West 135th Street","228 West 135th Street, New York, NY, 10030","6 units","3 stories","Built in 1930","Mixed-Use Building","Central Harlem","null","Building","https://streeteasy.com/building/228-West-135th-Street-10030"
"1533930933-495","http://yddevelopment.herokuapp.com/125buildings2.","House: 63 West 130th Street","63 West 130th Street, New York, NY, 10037","5 units","4 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/63-West-130th-Street-10037"
"1533930085-267","http://yddevelopment.herokuapp.com/125buildings2.","Building: 256 West 135th Street","256 West 135th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/256-West-135th-Street-10030"
"1533929914-216","http://yddevelopment.herokuapp.com/125buildings2.","Building: 244 West 137th Street","244 West 137th Street, New York, NY, 10030","8 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/244-West-137th-Street-10030"
"1533930623-410","http://yddevelopment.herokuapp.com/125buildings2.","Building: 103 West 131st Street","103 West 131st Street, New York, NY, 10027","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/103-West-131st-Street-10027"
"1533930939-497","http://yddevelopment.herokuapp.com/125buildings2.","Building: 414 Lenox Avenue","414 Lenox Avenue, New York, NY, 10037","8 units","5 stories","Built in 1900","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                  Live-in Super","Building","https://streeteasy.com/building/414-Lenox-Avenue-10037"
"1533930192-299","http://yddevelopment.herokuapp.com/125buildings2.","Building: 106 West 137th Street","106 West 137th Street, New York, NY, 10030","20 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/106-West-137th-Street-10030"
"1533929100-3","http://yddevelopment.herokuapp.com/125buildings2.","Building: 303 West 139th Street","303 West 139th Street, New York, NY, 10030","4 units","4 stories","Built in 1899","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/303-West-139th-Street-10030"
"1533929978-235","http://yddevelopment.herokuapp.com/125buildings2.","Building: 206 West 137th Street","206 West 137th Street, New York, NY, 10030","2 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/206-West-137th-Street-10030"
"1533930878-479","http://yddevelopment.herokuapp.com/125buildings2.","House: 76 West 132nd Street","76 West 132nd Street, New York, NY, 10037","4 units","3 stories","Built in 1910","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/76-West-132nd-Street-10037"
"1533930344-343","http://yddevelopment.herokuapp.com/125buildings2.","Building: 112 West 136th Street","112 West 136th Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/112-West-136th-Street-10030"
"1533929529-113","http://yddevelopment.herokuapp.com/125buildings2.","House: 163 West 143rd Street","163 West 143rd Street, New York, NY, 10030","15 units","5 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/163-West-143rd-Street-10030"
"1533929180-25","http://yddevelopment.herokuapp.com/125buildings2.","Building: 202 West 141st Street","202 West 141st Street, New York, NY, 10030","69 units","6 stories","Built in 1992","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/202-West-141st-Street-10030"
"1533930493-373","http://yddevelopment.herokuapp.com/125buildings2.","House: 2267 Adam C Powell Boulevard","2267 Adam C Powell Boulevard, New York, NY, 10030","8 units","5 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2267-Adam-C-Powell-Blvd-10030"
"1533929924-219","http://yddevelopment.herokuapp.com/125buildings2.","Building: 210 West 137th Street","210 West 137th Street, New York, NY, 10030","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/210-West-137th-Street-10030"
"1533930564-393","http://yddevelopment.herokuapp.com/125buildings2.","Building: 134 West 133rd Street","134 West 133rd Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/134-West-133rd-Street-10030"
"1533929987-238","http://yddevelopment.herokuapp.com/125buildings2.","House: 2550 Frederick Douglass Boulevard","2550 Frederick Douglass Boulevard, New York, NY, 10030","8 units","5 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2550-8th-Avenue-10030"
"1533929485-101","http://yddevelopment.herokuapp.com/125buildings2.","House: 2469 Adam C Powell Boulevard","2469 Adam C Powell Boulevard, New York, NY, 10030","13 units","5 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2469-Adam-C-Powell-Blvd-10030"
"1533930289-327","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2313 Adam C Powell Boulevard","2313 Adam C Powell Boulevard, New York, NY, 10030","2 units","4 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/2313-Adam-C-Powell-Blvd-10030"
"1533929519-110","http://yddevelopment.herokuapp.com/125buildings2.","Building: 147 West 143rd Street","147 West 143rd Street, New York, NY, 10030","19 units","6 stories","Has tax abated units","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/147-West-143rd-Street-10030"
"1533930955-502","http://yddevelopment.herokuapp.com/125buildings2.","Building: 410 Lenox Avenue","410 Lenox Avenue, New York, NY, 10037","9 units","5 stories","Built in 1901","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                  Live-in Super
              
          
            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/410-Lenox-Avenue-10037"
"1533930728-439","http://yddevelopment.herokuapp.com/125buildings2.","House: 102 West 129th Street","102 West 129th Street, New York, NY, 10027","6 units","4 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/102-West-129th-Street-10027"
"1533929140-13","http://yddevelopment.herokuapp.com/125buildings2.","Building: 305 West 137th Street","305 West 137th Street, New York, NY, 10030","8 units","3 stories","Built in 1953","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/305-West-137th-Street-10030"
"1533929192-28","http://yddevelopment.herokuapp.com/125buildings2.","Building: 215 West 139th Street","215 West 139th Street, New York, NY, 10030","4 units","4 stories","Built in 1926","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/215-West-139th-Street-10030"
"1533930034-252","http://yddevelopment.herokuapp.com/125buildings2.","House: 221 West 135th Street","221 West 135th Street, New York, NY, 10030","9 units","5 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/221-West-135th-Street-10030"
"1533929249-42","http://yddevelopment.herokuapp.com/125buildings2.","House: 251 West 139th Street","251 West 139th Street, New York, NY, 10030","1 unit","4 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/251-West-139th-Street-10030"
"1533930119-277","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2262 Adam C Powell Boulevard","2262 Adam C Powell Boulevard, New York, NY, 10030","33 units","5 stories","Built in 1910","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/2262-Adam-C-Powell-Blvd-10030"
"1533929901-212","http://yddevelopment.herokuapp.com/125buildings2.","House: 316 West 137th Street","316 West 137th Street, New York, NY, 10030","3 units","3 stories","Built in 1910","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/316-West-137th-Street-10030"
"1533929945-225","http://yddevelopment.herokuapp.com/125buildings2.","House: 240 West 137th Street","240 West 137th Street, New York, NY, 10030","3 units","3 stories","Built in 1910","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/240-West-137th-Street-10030"
"1533930974-508","http://yddevelopment.herokuapp.com/125buildings2.","House: 56 West 130 Th Street House (Astor","56 West 130th Street, New York, NY, 10037","3 units","3 stories","Built in 1899","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/56-West-130th-Street-10037"
"1533929996-241","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2308 Adam C Powell Boulevard","2308 Adam C Powell Boulevard, New York, NY, 10030","16 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2308-Adam-C-Powell-Blvd-10030"
"1533930916-491","http://yddevelopment.herokuapp.com/125buildings2.","Building: 26 West 132nd Street","26 West 132nd Street, New York, NY, 10037","10 units","5 stories","Built in 1900","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/26-West-132nd-Street-10037"
"1533929696-157","http://yddevelopment.herokuapp.com/125buildings2.","Building: 162 West 141st Street","162 West 141st Street, New York, NY, 10030","19 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/162-West-141st-Street-10030"
"1533929990-239","http://yddevelopment.herokuapp.com/125buildings2.","Building: 268 West 136th Street","268 West 136th Street, New York, NY, 10030","8 units","4 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                  Live-in Super
              
          
            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/268-West-136th-Street-10030"
"1533930854-472","http://yddevelopment.herokuapp.com/125buildings2.","Building: 67 West 137th Street","67 West 137th Street, New York, NY, 10037","14 units","5 stories","Built in 1930","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/67-West-137th-Street-10037"
"1533929685-154","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2411 Adam C Powell Boulevard","2411 Adam C Powell Boulevard, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2411-Adam-C-Powell-Blvd-10030"
"1533929206-31","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2394 Adam C Powell Boulevard","2394 Adam C Powell Boulevard, New York, NY, 10030","102 units","8 stories","Has tax abated units","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2394-Adam-C-Powell-Blvd-10030"
"1533930676-426","http://yddevelopment.herokuapp.com/125buildings2.","Building: 114 West 131st Street","114 West 131st Street, New York, NY, 10027","4 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/114-West-131st-Street-10027"
"1533929120-7","http://yddevelopment.herokuapp.com/125buildings2.","House: 316 West 139th Street","316 West 139th Street, New York, NY, 10030","5 units","3 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/316-West-139th-Street-10030"
"1533929807-185","http://yddevelopment.herokuapp.com/125buildings2.","Building: 120 West 139th Street","120 West 139th Street, New York, NY, 10030","20 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/120-West-139th-Street-10030"
"1533929962-230","http://yddevelopment.herokuapp.com/125buildings2.","House: 224 West 137th Street","224 West 137th Street, New York, NY, 10030","6 units","3 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/224-West-137th-Street-10030"
"1533929295-56","http://yddevelopment.herokuapp.com/125buildings2.","House: 260 West 139th Street","260 West 139th Street, New York, NY, 10030","3 units","3 stories","Built in 1899","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/260-West-139th-Street-10030"
"1533930858-473","http://yddevelopment.herokuapp.com/125buildings2.","Building: Lenox Terrace","470 Lenox Avenue, New York, NY, 10037","286 units","16 stories","Built in 1960","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

        Highlights
        
            
              
                
              
              
                
                  Doorman
                
              
            
            
              
                
              
              
                
                  Elevator
                
              
            
            
              
                
              
              
                
                  Pets Allowed
                
              
            
        
          
              
                  Laundry in Building
              
              
                  Live-in Super
              
              
                  Parking Available
              
              
                      
      
    

              
          
            Outdoor Space
          
              
                  Garden
              
          
            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/470-Lenox-Avenue-10037"
"1533930544-387","http://yddevelopment.herokuapp.com/125buildings2.","Building: 146 West 133rd Street","146 West 133rd Street, New York, NY, 10030","3 units","4 stories","Has tax abated units","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/146-West-133rd-Street-10030"
"1533929634-142","http://yddevelopment.herokuapp.com/125buildings2.","House: 629 Lenox Avenue","629 Lenox Avenue, New York, NY, 10037","14 units","6 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/629-Lenox-Avenue-10037"
"1533930962-504","http://yddevelopment.herokuapp.com/125buildings2.","House: 406 Lenox Avenue","406 Lenox Avenue, New York, NY, 10037","9 units","5 stories","Built in 1900","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/406-Lenox-Avenue-10037"
"1533930929-494","http://yddevelopment.herokuapp.com/125buildings2.","Building: 8 West 132nd Street","8 West 132nd Street, New York, NY, 10037","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/8-West-132nd-Street-10037"
"1533929170-22","http://yddevelopment.herokuapp.com/125buildings2.","House: 216 West 141st Street","216 West 141st Street, New York, NY, 10030","15 units","5 stories","Has tax abated units","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/216-West-141st-Street-10030"
"1533930768-448","http://yddevelopment.herokuapp.com/125buildings2.","Building: 45 West 139th Street","45 West 139th Street, New York, NY, 10037","256 units","16 stories","Built in 1959","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

        Highlights
        
            
              
                
              
              
                
                  Elevator
                
              
            
            
              
                
              
              
                
                  Pets Allowed
                
              
            
        
          
              
                  Laundry in Building
              
              
                  Live-in Super
              
              
                  Parking Available
              
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/45-West-139th-Street-10037"
"1533930790-453","http://yddevelopment.herokuapp.com/125buildings2.","House: 37 West 138th Street","37 West 138th Street, New York, NY, 10037","24 units","6 stories","Built in 1938","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 3","Building","https://streeteasy.com/building/37-West-138th-Street-10037"
"1533929904-213","http://yddevelopment.herokuapp.com/125buildings2.","Building: 302 West 137th Street","302 West 137th Street, New York, NY, 10030","9 units","4 stories","Built in 1901","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/302-West-137th-Street-10030"
"1533929195-29","http://yddevelopment.herokuapp.com/125buildings2.","House: 223 West 139th Street","223 West 139th Street, New York, NY, 10030","3 units","4 stories","Built in 1926","Three-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/223-West-139th-Street-10030"
"1533929878-205","http://yddevelopment.herokuapp.com/125buildings2.","Building: 115 West 137th Street","115 West 137th Street, New York, NY, 10030","27 units","6 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                  Live-in Super
              
          
            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/115-West-137th-Street-10030"
"1533929117-6","http://yddevelopment.herokuapp.com/125buildings2.","Building: 321 West 139th Street","321 West 139th Street, New York, NY, 10030","6 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/321-West-139th-Street-10030"
"1533929544-117","http://yddevelopment.herokuapp.com/125buildings2.","House: 2453 Adam C Powell Boulevard","2453 Adam C Powell Boulevard, New York, NY, 10030","28 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2453-Adam-C-Powell-Blvd-10030"
"1533930255-318","http://yddevelopment.herokuapp.com/125buildings2.","Property: 168 West 136th Street","168 West 136th Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/168-West-136th-Street-10030"
"1533930486-371","http://yddevelopment.herokuapp.com/125buildings2.","House: 167 West 133rd Street","167 West 133rd Street, New York, NY, 10030","16 units","5 stories","Built in 1926","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/167-West-133rd-Street-10030"
"1533929993-240","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2310 Adam C Powell Boulevard","2310 Adam C Powell Boulevard, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/2310-Adam-C-Powell-Blvd-10030"
"1533930626-411","http://yddevelopment.herokuapp.com/125buildings2.","Building: 109 West 131st Street","109 West 131st Street, New York, NY, 10027","3 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/109-West-131st-Street-10027"
"1533930065-261","http://yddevelopment.herokuapp.com/125buildings2.","House: 254 West 135th Street","254 West 135th Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Four-Family Home","Central Harlem","null","Building","https://streeteasy.com/building/254-West-135th-Street-10030"
"1533929861-200","http://yddevelopment.herokuapp.com/125buildings2.","Building: 537 Lenox Avenue","537 Lenox Avenue, New York, NY, 10037","8 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                  Live-in Super
              
          
            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/537-Lenox-Avenue-10037"
"1533930630-412","http://yddevelopment.herokuapp.com/125buildings2.","Building: 111 West 131st Street","111 West 131st Street, New York, NY, 10027","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/111-West-131st-Street-10027"
"1533930845-469","http://yddevelopment.herokuapp.com/125buildings2.","House: 19 West 137th Street","19 West 137th Street, New York, NY, 10037","18 units","6 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/19-West-137th-Street-10037"
"1533929755-170","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2403 Adam C Powell Boulevard","2403 Adam C Powell Boulevard, New York, NY, 10030","10 units","5 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2403-Adam-C-Powell-Blvd-10030"
"1533930574-396","http://yddevelopment.herokuapp.com/125buildings2.","Building: 118 West 133rd Street","118 West 133rd Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/118-West-133rd-Street-10030"
"1533930691-430","http://yddevelopment.herokuapp.com/125buildings2.","House: 134 West 131st Street","134 West 131st Street, New York, NY, 10027","4 units","3 stories","Built in 1910","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/134-West-131st-Street-10027"
"1533930720-437","http://yddevelopment.herokuapp.com/125buildings2.","Property: 411 Lenox Avenue","411 Lenox Avenue, New York, NY, 10037","2 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/411-Lenox-Avenue-10037"
"1533929259-45","http://yddevelopment.herokuapp.com/125buildings2.","House: 259 West 139th Street","259 West 139th Street, New York, NY, 10030","4 units","4 stories","Built in 1920","Four-Family Home","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/259-West-139th-Street-10030"
"1533930122-278","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2260 Adam C Powell Boulevard","2260 Adam C Powell Boulevard, New York, NY, 10030","16 units","5 stories","Built in 1910","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/2260-Adam-C-Powell-Blvd-10030"
"1533930636-414","http://yddevelopment.herokuapp.com/125buildings2.","Building: 129 West 131st Street","129 West 131st Street, New York, NY, 10027","11 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/129-West-131st-Street-10027"
"1533929965-231","http://yddevelopment.herokuapp.com/125buildings2.","Building: 220 West 137th Street","220 West 137th Street, New York, NY, 10030","10 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/220-West-137th-Street-10030"
"1533930787-452","http://yddevelopment.herokuapp.com/125buildings2.","House: 35 West 138th Street","35 West 138th Street, New York, NY, 10037","24 units","6 stories","Built in 1938","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 3","Building","https://streeteasy.com/building/35-West-138th-Street-10037"
"1533930783-451","http://yddevelopment.herokuapp.com/125buildings2.","Building: Beacon Towers","29 West 138th Street, New York, NY, 10037","73 units","8 stories","Built in 2010","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

        Highlights
        
            
              
                
              
              
                
                  Cats and Dogs Allowed
                
              
            
            
              
                
              
              
                
                  Elevator
                
              
            
            
              
                
              
              
                
                  Part-time Doorman
                
              
            
        
          
              
                  Bike Room
              
              
                  Gym
              
              
                  Parking Available
              
              
                      
      
    

              
          
            Outdoor Space
          
              
                  Garden
              
          
            Location
          
              
                  NYC Storm Zone 3","Building","https://streeteasy.com/building/29-West-138th-Street-10037"
"1533930743-443","http://yddevelopment.herokuapp.com/125buildings2.","Building: 700 Esplanade Gdns Plaza","700 Esplanade Gdns Plaza, New York, NY, 10039","584 units","27 stories","Built in 1966","Co-op","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

          
              
                      
      
    

              
          
            Location
          
              
                  NYC Storm Zone 2","Building","https://streeteasy.com/building/700-Esplanade-Gdns-Plaza-10039"
